"Type","Bai","Cong","Pan","Hai","Hua","Huang","Li","Nan","Tian","Yue","Area","B","L","R","Floor","HH","HM","Brand","cluster"
1,0,0,1,0,0,0,0,0,0,0,110,3,2,2,9,0,0,1,3
1,0,0,0,0,0,0,0,0,1,0,28,1,0,1,6,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,11,4,1,2,23,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,28,1,1,1,8,0,1,1,2
1,0,0,0,1,0,0,0,0,0,0,40,2,1,1,7,0,0,1,2
0,0,0,0,0,0,0,0,0,1,0,5,5,1,2,13,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,6,4,1,2,32,1,0,0,1
0,0,0,0,0,0,0,1,0,0,0,12,4,1,2,40,1,0,0,1
0,0,0,0,0,0,0,1,0,0,0,9,4,1,1,29,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,85,3,1,1,9,0,1,1,2
0,0,0,0,0,0,0,1,0,0,0,10,4,1,1,28,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0,12,3,1,1,18,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,82,3,2,1,45,0,0,1,3
1,0,0,0,0,0,0,1,0,0,0,92,3,2,1,23,0,0,1,3
0,0,0,0,0,0,0,0,0,1,0,7,4,1,1,32,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,90,3,2,1,18,0,1,1,3
0,0,0,1,0,0,0,0,0,0,0,13,4,1,2,30,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,22,4,1,2,29,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,125,3,2,1,25,0,1,1,4
0,0,0,0,0,0,0,0,0,1,0,7,3,1,1,13,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,109,2,1,1,14,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,44,1,2,1,22,0,1,1,2
1,1,0,0,0,0,0,0,0,0,0,92,2,1,1,9,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,225,4,2,2,30,1,0,1,3
0,0,0,1,0,0,0,0,0,0,0,7,4,1,2,6,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,9,3,1,1,30,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,56,2,1,1,12,0,1,1,2
0,0,0,0,0,0,0,1,0,0,0,8,3,1,1,32,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,109,3,1,2,9,0,1,1,2
0,1,0,0,0,0,0,0,0,0,0,10,4,1,2,11,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,87,2,1,1,38,0,0,1,2
1,0,0,1,0,0,0,0,0,0,0,203,4,2,3,28,0,1,1,3
1,0,0,0,0,0,0,0,0,0,1,22,1,0,1,8,0,1,1,4
1,0,0,0,1,0,0,0,0,0,0,84,2,1,1,11,1,0,1,2
1,0,0,0,0,0,0,1,0,0,0,167,5,2,2,19,0,1,1,3
1,0,0,0,0,0,0,0,0,1,0,76,2,1,1,20,1,0,1,2
1,0,0,0,0,0,0,0,0,1,0,80,1,0,1,30,1,0,1,2
0,0,0,0,1,0,0,0,0,0,0,8,4,1,2,31,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,104,3,2,2,9,1,0,1,3
1,0,0,0,1,0,0,0,0,0,0,68,2,2,1,10,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,9,4,1,2,31,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,108,3,1,1,9,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,7,4,1,1,29,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,132,3,2,2,26,0,0,1,3
0,0,0,0,0,0,0,0,0,1,0,17,4,1,1,9,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,82,3,1,1,9,1,0,1,2
0,0,0,0,0,0,0,1,0,0,0,9,4,1,3,33,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,96,3,2,1,34,1,0,1,3
1,1,0,0,0,0,0,0,0,0,0,83,2,1,1,9,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,87,4,1,2,15,0,1,1,3
0,0,0,0,0,0,1,0,0,0,0,12,4,1,1,33,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,12,4,1,2,16,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,35,1,0,1,3,0,0,1,2
1,0,0,0,0,0,0,0,0,0,0,92,3,2,2,27,0,1,1,3
1,0,0,1,0,0,0,0,0,0,0,43,1,0,1,13,0,1,1,2
0,0,0,1,0,0,0,0,0,0,0,9,5,1,2,7,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,149,3,2,2,30,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,109,3,2,2,12,0,0,1,3
1,0,0,0,1,0,0,0,0,0,0,90,3,2,1,31,1,0,1,3
1,0,0,0,1,0,0,0,0,0,0,77,2,1,1,20,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,68,2,1,1,33,0,0,1,2
0,0,0,0,0,0,1,0,0,0,0,8,5,1,2,16,0,1,0,1
1,0,0,0,0,0,0,0,0,1,0,100,3,1,1,9,1,0,1,2
0,0,0,0,0,0,0,0,0,1,0,15,4,1,2,18,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,60,2,1,1,9,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,8,3,1,1,10,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,43,1,0,1,26,0,0,1,2
0,0,0,0,1,0,0,0,0,0,0,7,4,1,2,11,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,80,3,1,1,8,0,1,1,2
0,0,0,0,1,0,0,0,0,0,0,8,4,1,1,9,0,1,0,1
1,0,0,0,0,0,0,0,0,0,1,25,1,0,1,9,1,0,1,4
0,0,0,0,1,0,0,0,0,0,0,8,4,1,1,19,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,97,3,2,2,9,1,0,1,3
1,1,0,0,0,0,0,0,0,0,0,122,4,2,2,18,0,0,1,3
0,0,0,0,0,0,1,0,0,0,0,12,4,1,1,33,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,13,3,1,1,9,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,9,3,1,1,15,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,64,2,1,1,13,0,0,1,2
1,0,0,0,0,0,0,0,0,1,0,49,1,1,1,31,0,1,1,2
1,0,0,0,0,0,1,0,0,0,0,91,4,2,2,31,0,1,1,3
0,0,0,0,0,0,0,0,0,1,0,9,4,1,1,12,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,30,1,1,1,7,0,1,1,2
1,0,0,0,0,0,0,1,0,0,0,75,2,2,1,7,0,1,1,2
1,0,0,0,0,0,0,0,0,1,0,50,1,0,1,26,0,1,1,2
1,0,0,0,0,0,0,0,0,0,1,160,3,2,2,28,0,1,1,4
1,1,0,0,0,0,0,0,0,0,0,68,2,1,1,6,0,0,1,2
1,0,0,0,0,0,0,0,1,0,0,90,3,1,1,31,0,1,1,3
1,1,0,0,0,0,0,0,0,0,0,40,1,0,1,9,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,120,3,2,2,18,0,1,1,3
0,0,0,0,0,0,0,0,0,1,0,7,4,1,1,33,1,0,0,1
1,0,0,0,0,0,0,0,0,0,1,90,3,2,1,9,1,0,1,4
1,0,0,0,1,0,0,0,0,0,0,63,2,1,1,9,0,0,1,2
0,0,0,1,0,0,0,0,0,0,0,8,5,1,2,6,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,57,1,1,1,12,1,0,1,2
1,0,0,0,1,0,0,0,0,0,0,41,1,1,1,8,1,0,1,2
1,1,0,0,0,0,0,0,0,0,0,94,3,2,1,18,0,0,1,3
1,0,0,1,0,0,0,0,0,0,0,150,4,2,2,11,0,1,1,3
1,0,0,0,0,0,0,0,0,1,0,46,1,0,1,33,0,1,1,2
1,0,0,1,0,0,0,0,0,0,0,94,3,1,2,35,1,0,1,3
