"","Type","Bai","Cong","Pan","Hai","Hua","Huang","Li","Nan","Tian","Yue","Zeng","Area","B","L","R","Floor","HH","HM","HL","Brand"
"Yue",0.0765867827884872,-0.13894426609161,-0.00577764058336907,-0.126774681809704,-0.137574935797843,-0.0411919876611492,-0.0689480045979687,-0.101515724441766,-0.0485462167603741,-0.179589191416911,1,-0.0533715218016186,-0.0551003926871397,-0.105296564614855,-0.126323764210594,-0.117951097225309,-0.0979538547310367,0.0108419746098528,-0.0113179248550202,0.000751268208779257,0.0749882095572173
"Zeng",0.0344718752327785,-0.0740751784238336,-0.0030802261159863,-0.0675872235597513,-0.0733451491201088,-0.0219606315644613,-0.0367581612845719,-0.0541209480058074,-0.0258813822943681,-0.0957441553466481,-0.0533715218016186,1,0.0819660125391904,0.0657494656301053,0.16138275669891,0.101058521757342,0.074948681015091,0.0395287027312609,-0.0483182175663316,0.010419015761934,0.0355042022667708
"Area",0.502392351098816,0.0387488797636422,0.0253805179070222,0.0294220990038658,-0.0745991728896968,0.054927128896931,-0.0310467477846001,-0.0766797882992679,0.0533145503519031,0.0431811889619275,-0.0551003926871397,0.0819660125391904,1,0.284512416109523,0.529344001954583,0.41907941794744,0.116283071364026,0.0536931720033861,-0.0323728815744345,-0.022057031877384,0.503548070339419
"B",-0.503756321182071,-0.010738087825695,0.0254835149799596,0.0799585586011409,-0.0772323726635774,0.00212636457024514,0.109286939038516,0.018341140646824,-0.0037892596164875,-0.00966791240049782,-0.105296564614855,0.0657494656301053,0.284512416109523,1,0.423785278732456,0.600083971411581,0.0939527470743027,0.017787848002962,-0.0241028720733893,0.00725761001743965,-0.488907030105607
"L",0.150995960332254,-0.0102677586193122,0.0242950998499401,0.0538780840180942,-0.0891627769707397,0.114877129745569,0.033115039672891,-0.00560847118875148,0.077672639163169,-0.0102611441487364,-0.126323764210594,0.16138275669891,0.529344001954583,0.423785278732456,1,0.440086418641102,0.120350137855055,0.0291074548869607,-0.00582298707108718,-0.0247240228875679,0.152786637479341
"R",-0.171344638274488,-0.0310024535578478,0.0245575487634997,0.120525920769833,-0.0940216557187012,-0.0105001751163002,0.0195709777493079,0.0295739312208042,0.0687059479662266,-0.00127142983893958,-0.117951097225309,0.101058521757342,0.41907941794744,0.600083971411581,0.440086418641102,1,0.178116952234879,-0.0158170607338707,-0.0291365277644769,0.0486009619171592,-0.165665511601464
"Floor",-0.0692350185123682,-0.242177946545978,0.0133570161315657,-0.072904491009774,-0.040596424977342,-0.0158346503635657,0.0930210890202217,0.087948669842201,0.0741651745383724,0.211467098485569,-0.0979538547310367,0.074948681015091,0.116283071364026,0.0939527470743027,0.120350137855055,0.178116952234879,1,-0.0516407877553704,-0.0176822104005801,0.0743617635924538,-0.069461719579918
"HH",0.041186634444827,0.00766584828965897,-0.0132917065367056,-0.00350709772831194,0.0130257251626362,-0.00173293001735174,0.00976150990877119,-0.0288354205457834,-0.0228861285774613,-0.0133322388267921,0.0108419746098528,0.0395287027312609,0.0536931720033861,0.017787848002962,0.0291074548869607,-0.0158170607338707,-0.0516407877553704,1,-0.5698557443862,-0.446798740692607,0.0445014983419114
"HM",0.0178026903552829,0.0143635972153095,0.0233246864099313,0.0304333293302377,-0.0117562516913078,0.00536434062365634,0.00105634644298389,0.0084986782959942,0.0448042030892675,-0.0252431425267604,-0.0113179248550202,-0.0483182175663316,-0.0323728815744345,-0.0241028720733893,-0.00582298707108718,-0.0291365277644769,-0.0176822104005801,-0.5698557443862,1,-0.480550371132422,0.017729379051806
"HL",-0.0633362434563195,-0.0238186694643833,-0.011208686710838,-0.0293900228262653,-0.00110202643274058,-0.0039907788068251,-0.0115675424626775,0.0215206792000497,-0.0243542820154605,0.0417104233517986,0.000751268208779257,0.010419015761934,-0.022057031877384,0.00725761001743965,-0.0247240228875679,0.0486009619171592,0.0743617635924538,-0.446798740692607,-0.480550371132422,1,-0.0667940566672544
"Brand",0.98533248097054,0.0796074620234573,0.00710023417156713,-0.0328627237213989,-0.0198468573808702,0.0429126312150746,-0.109766118421032,-0.0414792163369791,0.0596592159322786,-0.0413685117586549,0.0749882095572173,0.0355042022667708,0.503548070339419,-0.488907030105607,0.152786637479341,-0.165665511601464,-0.069461719579918,0.0445014983419114,0.017729379051806,-0.0667940566672544,1
